101 t5 t7 t2 t6 t5 .	101 101 000 001 000 100	0 1 2 3 4 5 6
111 t3 t8 t4 t6 t6 .	111 111 100 001 000 101	0 1 2 3 4 5 6
010 t8 t2 t6 t4 t4 .	010 110 010 111 101 110	0 1 2 3 4 5 6
000 t1 t5 t4 t8 t5 .	000 011 010 111 100 000	0 1 2 3 4 5 6
111 t6 t6 t5 t5 t8 .	111 110 100 000 100 101	0 1 2 3 4 5 6
001 t1 t5 t8 t1 t3 .	001 001 001 010 110 010	0 1 2 3 4 5 6
001 t2 t4 t4 t2 t7 .	001 100 001 100 110 110	0 1 2 3 4 5 6
000 t8 t4 t2 t5 t1 .	000 011 010 011 010 110	0 1 2 3 4 5 6
001 t3 t7 t3 t1 t3 .	001 100 011 110 100 101	0 1 2 3 4 5 6
011 t3 t1 t3 t5 t8 .	011 110 100 101 101 000	0 1 2 3 4 5 6
010 t2 t4 t4 t2 t7 .	010 011 010 111 111 101	0 1 2 3 4 5 6
110 t1 t3 t4 t7 t2 .	110 100 101 110 110 010	0 1 2 3 4 5 6
011 t1 t7 t5 t6 t5 .	011 010 001 001 000 100	0 1 2 3 4 5 6
010 t3 t5 t8 t4 t2 .	010 011 010 110 000 001	0 1 2 3 4 5 6
011 t1 t1 t2 t1 t7 .	011 010 110 010 110 110	0 1 2 3 4 5 6
101 t6 t2 t3 t8 t3 .	101 011 101 001 010 011	0 1 2 3 4 5 6
111 t6 t5 t1 t6 t8 .	111 110 011 010 111 100	0 1 2 3 4 5 6
011 t6 t5 t6 t7 t2 .	011 001 001 000 111 111	0 1 2 3 4 5 6
111 t1 t2 t7 t4 t3 .	111 111 111 101 110 010	0 1 2 3 4 5 6
001 t6 t2 t7 t3 t1 .	001 000 001 100 101 000	0 1 2 3 4 5 6
000 t1 t8 t5 t6 t4 .	000 011 001 001 000 011	0 1 2 3 4 5 6
001 t5 t4 t7 t1 t5 .	001 001 100 011 010 110	0 1 2 3 4 5 6
101 t3 t7 t4 t1 t6 .	101 001 100 001 001 000	0 1 2 3 4 5 6
000 t2 t8 t5 t4 t1 .	000 001 010 110 000 011	0 1 2 3 4 5 6
110 t4 t4 t3 t6 t7 .	110 000 011 110 100 011	0 1 2 3 4 5 6
111 t6 t4 t7 t6 t3 .	111 110 000 111 110 010	0 1 2 3 4 5 6
100 t2 t7 t6 t5 t3 .	100 110 110 100 000 000	0 1 2 3 4 5 6
100 t6 t6 t7 t6 t4 .	100 010 111 101 011 010	0 1 2 3 4 5 6
101 t8 t1 t2 t3 t3 .	101 000 011 101 001 100	0 1 2 3 4 5 6
000 t8 t6 t1 t5 t2 .	000 011 001 001 001 100	0 1 2 3 4 5 6
100 t2 t5 t7 t5 t3 .	100 110 011 010 110 010	0 1 2 3 4 5 6
001 t5 t1 t8 t3 t1 .	001 001 001 010 011 010	0 1 2 3 4 5 6
011 t1 t6 t2 t7 t3 .	011 010 111 111 101 001	0 1 2 3 4 5 6
